Gender,Age,openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality (Class label)
M,17,7,4,7,3,2,extraverted
M,19,4,5,4,6,6,serious
F,18,7,6,4,5,5,dependable
F,22,5,6,7,4,3,extraverted
F,19,7,4,6,5,4,lively
M,18,5,7,7,6,4,lively
F,17,5,6,5,7,4,extraverted
F,19,6,6,7,5,4,extraverted
M,18,5,7,5,6,7,dependable
F,19,5,5,7,4,5,lively
M,19,6,7,5,6,3,serious
M,19,7,6,7,7,6,extraverted
M,19,7,6,6,5,6,lively
F,19,6,7,5,5,5,dependable
F,19,5,5,4,5,4,responsible
M,19,5,6,4,6,3,extraverted
F,19,7,7,2,6,5,serious
F,18,6,7,4,4,2,dependable
F,19,6,6,6,4,3,responsible
F,19,5,6,3,3,3,extraverted
F,19,6,4,6,3,4,responsible
M,18,4,5,4,3,6,extraverted
F,19,5,4,5,5,3,responsible
M,20,5,3,3,4,4,serious
F,19,6,7,5,5,4,serious
F,19,7,5,6,6,5,dependable
F,18,6,4,5,5,4,extraverted
F,19,4,6,4,7,6,extraverted
F,27,6,5,6,4,5,lively
F,17,7,4,7,6,5,lively
F,21,6,6,3,5,4,extraverted
M,18,6,5,5,6,1,extraverted
F,18,6,6,5,6,3,dependable
M,18,6,3,5,5,4,lively
M,18,5,7,3,6,4,serious
F,19,7,6,6,6,5,lively
F,18,7,6,6,7,5,responsible
F,18,7,7,5,7,3,responsible
F,17,7,5,7,7,2,dependable
F,20,6,5,4,5,5,serious
M,19,3,5,3,4,2,dependable
F,17,6,7,6,6,6,extraverted
F,18,7,5,6,6,4,serious
F,20,5,7,5,6,3,extraverted
M,28,6,5,7,6,4,dependable
M,17,5,6,5,5,3,dependable
F,18,5,5,4,4,3,responsible
F,20,7,6,6,4,4,serious
F,18,6,4,3,6,2,lively
F,19,6,4,5,6,4,lively
F,19,3,4,5,5,1,extraverted
F,18,4,5,4,6,1,extraverted
M,17,5,4,3,6,6,serious
F,23,6,7,4,4,5,extraverted
F,19,7,5,7,4,6,lively
M,18,7,5,5,4,3,lively
F,17,5,5,4,6,4,extraverted
F,18,6,6,5,4,4,dependable
F,19,5,6,5,4,7,lively
M,19,5,4,6,1,3,lively
M,19,3,7,2,6,7,responsible
F,18,7,6,5,5,5,extraverted
F,19,6,5,4,5,2,responsible
M,19,6,6,2,5,6,dependable
F,18,7,5,5,4,5,serious
M,19,6,6,5,5,4,serious
F,17,6,5,5,4,4,responsible
F,19,5,6,5,6,4,dependable
M,19,6,5,5,6,6,responsible
F,19,5,5,5,7,3,dependable
M,18,6,6,4,4,3,extraverted
M,18,7,6,6,5,7,extraverted
F,17,5,5,5,5,3,responsible
F,19,5,5,4,4,4,dependable
F,18,5,4,5,6,4,responsible
F,18,7,4,6,6,4,serious
F,17,4,6,4,4,1,extraverted
F,17,7,4,5,5,5,dependable
F,19,6,4,5,5,6,lively
F,18,5,1,3,5,2,lively
M,18,3,6,3,3,2,extraverted
F,18,7,5,7,5,2,lively
M,21,6,5,5,5,3,serious
F,21,6,5,6,5,2,responsible
F,18,6,4,4,6,4,extraverted
M,18,7,5,7,6,1,serious
F,19,5,4,7,4,4,dependable
F,18,4,6,2,1,4,serious
M,20,5,6,6,5,3,dependable
M,18,6,7,6,5,4,responsible
F,18,6,4,5,4,6,dependable
M,18,6,5,3,5,3,extraverted
F,18,7,5,2,4,3,extraverted
M,21,4,4,4,4,4,serious
M,21,6,6,5,6,4,lively
M,18,3,6,6,1,3,responsible
F,18,4,4,5,7,3,dependable
F,19,5,5,4,6,3,lively
M,19,2,5,3,6,4,serious
F,19,5,5,2,2,1,responsible
M,18,5,3,3,6,2,responsible
F,19,6,5,2,3,3,lively
M,27,7,5,6,7,3,dependable
M,17,6,5,4,7,5,dependable
F,21,4,6,3,5,2,lively
F,18,7,6,4,1,1,extraverted
F,17,7,4,7,3,7,responsible
F,19,5,1,5,1,5,lively
F,18,6,5,3,2,3,extraverted
M,22,7,5,3,6,3,dependable
F,19,5,5,6,3,2,serious
F,18,7,5,7,1,5,serious
F,17,7,4,4,6,4,lively
M,19,3,4,4,2,5,lively
M,18,2,6,6,7,5,extraverted
F,19,6,2,6,5,5,responsible
F,19,3,6,6,1,4,dependable
M,19,4,6,7,6,5,dependable
F,28,6,4,6,5,4,responsible
F,17,5,3,4,7,6,dependable
F,18,5,5,5,6,5,responsible
M,20,7,5,7,2,2,serious
